Fluid Name,Metal: Alloy-20,Metal: Aluminum,Metal: Brass,Metal: Bronze,Metal: Cast iron / Nodular iron,Metal: Cast Steel,Metal: Monel,Metal: Stainless steel EN-1.4301 (AISI-304),Metal: Stainless steel EN-1.4401 (AISI-316),Elastic: Buna-nitrile,Elastic: Butyl,Elastic: E.P.D.M.,Elastic: HYPALON ® Polyethylene chlorosulphonated,Elastic: KALREZ ® Perfluoroelastomer,Elastic: Natural rubber,Elastic: Neoprene,Elastic: Silicone,Elastic: TEFLON ® Polytetrafluorethylene,Elastic: VITON ® Fluorelastomer
Calcium Hydroxide,B,C,B,A,C,C,A,B,B,D,B,A,A,E,B,B,D,A,D
Calcium bisulfate,A,C,D,B,D,D,B,C,B,D,A,A,A,E,B,B,D,A,D
Calcium carbonate,A,C,C,C,D,D,B,B,B,B,B,A,A,E,A,A,D,A,D
Calcium chloride,B,C,D,B,C,C,A,C,B,B,A,A,A,E,A,A,D,A,D
Calcium hypochlorite,C,C,D,D,D,D,C,C,C,D,B,A,A,E,A,B,D,A,D
Calcium sulphate,B,B,D,C,C,C,B,B,B,C,B,A,A,E,A,B,D,A,D
Carbolic acid,A,A,B,B,D,D,B,B,B,D,B,A,A,E,A,B,D,A,D
Carbon dioxide,A,A,A,A,B,A,A,A,A,C,B,A,A,E,A,C,D,A,D
Carbon dioxide (dry),A,A,A,A,B,A,A,A,A,C,B,A,A,E,A,C,D,A,D
Carbon dioxide (wet),A,A,C,B,A,B,A,A,A,C,B,A,A,E,A,C,D,A,D
Carbon sulfide (dry),B,A,A,B,A,B,A,A,A,D,B,A,A,E,A,D,D,A,D
Carbon sulfide (wet),A,A,D,C,B,B,A,B,B,D,B,A,A,E,A,D,D,A,D
Carbon tetrachloride (dry),A,B,B,C,B,B,B,A,A,B,D,D,D,E,D,C,D,A,A
Carbon tetrachloride (wet),B,C,C,D,D,D,C,B,B,B,D,D,D,E,D,C,D,A,A
Carbonated water,A,A,C,B,B,B,A,A,A,B,B,A,A,E,A,B,D,A,D
Carbonic Acid,A,A,B,D,D,D,A,B,B,D,B,A,A,E,A,B,D,A,D
Castor Oil,A,A,A,A,B,B,A,A,A,A,D,D,D,E,D,D,C,A,A
Chloride copper,C,D,D,D,D,D,C,C,C,B,A,A,A,E,A,A,D,A,D
Chlorine (wet),D,D,D,D,D,D,C,D,D,D,B,A,A,E,B,B,D,A,A
Chlorine gas (dry),A,B,B,C,B,B,B,B,B,D,B,A,A,E,B,B,D,A,A
Chloroacetic acid,D,C,D,C,D,D,C,D,D,D,D,A,A,E,D,D,D,A,D
Chlorobenzene (dry),A,B,B,B,B,B,C,A,A,A,B,D,B,E,D,B,D,B,A
Chlorofluorocarbons (CFC),A,C,C,B,D,C,A,B,B,C,D,D,D,A,D,C,B,A,A
Chloroform (dry),A,D,B,B,B,B,A,A,A,A,B,D,B,E,D,B,D,A,A
Chlorosulfonic acid (dry),A,B,B,B,B,B,A,B,B,D,D,A,A,E,C,D,D,A,D
Chlorosulfonic acid (wet),D,D,D,D,D,D,C,D,D,D,D,A,A,E,C,D,D,A,D
Chromic Acid,C,C,D,D,D,D,B,C,C,D,D,A,A,E,D,D,D,A,D
Chromium alum,A,C,C,C,B,B,C,A,A,D,D,A,D,E,A,B,D,D,A
Cider,A,D,C,B,D,D,A,A,A,E,E,E,E,E,E,E,E,E,E
Citric acid,A,A,C,A,B,D,B,B,B,A,B,A,A,E,A,A,D,A,D
Coal gas,A,A,C,C,B,B,B,A,A,A,D,D,D,E,D,B,D,A,A
Coconut oil,B,B,B,B,C,C,B,B,B,A,D,D,D,E,D,D,C,A,A
Coffee,A,A,A,A,A,E,A,A,A,A,A,A,A,E,A,A,A,A,A
Concentrated ammonium hydroxide,B,C,D,D,C,C,D,B,B,D,B,A,A,E,B,B,D,A,D
Concentrated hydrogen peroxide,A,A,D,D,D,D,A,A,A,D,C,E,E,E,B,C,D,A,A
Cooling oil,A,A,B,B,B,B,B,A,A,A,D,D,D,E,D,C,C,A,A
Copper Acetate,A,D,D,D,D,D,C,A,A,C,B,A,A,E,C,B,B,A,D
Copper Nitrate,A,D,D,D,D,D,C,B,B,C,B,A,A,E,A,B,D,A,D
Copper sulphate,A,D,D,D,D,D,A,B,B,C,B,A,A,E,A,B,D,A,D
Corn oil,B,B,B,B,C,C,B,B,B,A,D,D,D,E,D,D,C,A,A
Cottonseed oil,A,A,B,A,B,A,A,A,A,A,D,D,D,E,D,C,C,A,A
Creosote oil,B,A,B,B,B,B,A,B,B,A,D,D,D,E,D,D,C,A,A
Cresylic acid,B,C,C,C,D,C,B,B,B,D,D,A,A,E,D,D,D,A,D
Crude oil (sour),A,A,D,C,C,B,A,A,A,B,D,E,E,E,D,D,D,A,A
Diethylamine,A,A,A,A,A,A,A,A,A,A,D,D,B,E,D,B,D,A,A
Distilled water,A,A,B,A,D,D,A,A,A,D,B,A,A,E,A,B,D,A,D
Dowlherms,A,A,A,A,B,B,A,A,A,B,D,B,B,E,D,B,D,B,A
Drinking water,A,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Dry air,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Drying Oils,B,C,C,C,B,C,B,B,B,A,D,D,D,E,D,D,C,A,A
Epsom Salt,B,A,B,B,C,C,B,B,B,B,C,A,A,E,A,C,D,A,D
Ethane,B,A,A,A,B,B,B,B,B,D,D,A,D,E,A,C,D,D,D
Ether,B,A,A,B,B,A,D,A,A,A,D,D,D,E,D,B,D,A,A
Ethyl Acrylate,A,C,D,B,C,C,B,A,A,A,D,D,D,E,D,C,D,C,A
Ethyl acetate,B,B,C,C,C,B,B,B,B,C,B,A,A,E,C,A,D,A,D
Ethyl alcohol,B,B,A,B,B,B,B,B,B,D,A,B,C,E,A,D,D,A,D
Ethyl chloride (dry),A,B,C,B,B,B,B,A,A,B,A,A,A,E,A,A,D,A,D
Ethyl chloride (wet),A,D,D,C,D,D,B,B,B,B,A,A,A,E,A,A,D,A,D
Ethylene,A,A,B,B,B,B,B,B,B,A,D,D,D,E,D,B,A,C,A
Ethylene glycol,A,B,B,A,A,A,A,A,A,A,D,D,D,E,D,A,D,A,A
Ethylene oxide,B,A,A,A,B,B,B,B,B,C,B,A,B,E,B,B,D,B,D
Fatty acids,A,B,A,B,D,D,B,B,A,D,B,A,A,E,C,B,D,A,A
Ferric chloride,D,D,D,D,D,D,D,D,D,B,A,A,A,E,A,A,D,A,D
Ferric nitrate,C,D,D,D,D,D,C,C,C,C,B,A,A,E,A,B,D,A,D
Ferric sulfate,A,D,D,D,D,D,C,A,A,C,B,A,A,E,A,B,D,A,D
Ferrous chloride,D,D,D,D,D,D,C,D,D,B,A,A,A,E,A,A,D,A,D
Ferrous sulfate saturated,A,C,D,C,C,C,A,A,A,C,B,A,A,E,A,B,D,A,D
Ferrous sulphate,A,D,D,B,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
Fertilizer solution,B,B,C,C,C,B,B,B,B,C,B,A,A,E,A,B,D,A,D
Firewood oil,A,B,B,B,B,B,C,A,A,A,D,D,D,E,D,C,C,A,A
Fish oil,A,B,B,B,B,B,A,A,A,A,D,D,D,E,D,D,C,A,A
Flax oil,B,A,B,B,A,A,B,B,B,A,D,D,D,E,D,C,C,A,A
Fluorinated gases (freons),A,B,B,B,C,B,A,A,A,D,D,D,D,A,D,B,C,A,A
Fluorine (dry),C,D,D,D,D,D,B,D,D,D,B,A,A,E,D,B,D,A,D
Fluorosilicic acid,A,D,D,A,D,D,A,B,B,D,B,A,A,E,C,C,D,A,A
Formaldehyde (chaud),B,B,C,B,D,D,B,C,C,D,D,D,B,E,D,B,A,A,A
Formaldehyde (cold),A,A,C,A,B,A,A,A,A,D,D,D,B,E,B,B,D,A,A
Formic acid ( cold ),B,D,C,B,D,D,B,C,B,D,B,A,A,E,C,C,D,A,A
Formic acid ( hot ),B,D,C,B,D,D,B,C,B,D,D,A,A,E,C,D,D,A,A
Freon,B,B,B,B,B,B,A,A,A,D,C,D,A,E,A,B,A,A,D
Fresh water,A,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Fruit juice,A,B,D,B,D,D,A,A,A,D,D,D,D,E,A,D,D,A,D
Fuel-oil,A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,C,D,A,A
Furfural,A,A,C,A,B,A,A,A,A,A,D,D,D,E,D,C,D,A,A
Gallic Acid,B,A,B,C,D,D,B,B,B,D,B,A,A,E,C,B,D,A,A
Gas lighting,A,A,B,A,A,A,A,A,A,A,D,D,D,E,D,B,D,D,A
Gasoline,A,A,A,A,C,C,B,A,A,A,D,D,D,E,B,C,D,A,A
Gelatin,A,A,C,A,D,D,A,A,A,D,A,D,D,E,A,D,B,A,D
Glucose,A,A,B,A,B,B,A,A,A,D,A,A,A,E,A,B,D,A,D
Glue,B,A,C,B,A,A,B,B,B,B,B,B,C,E,D,B,B,A,A
Glycerin,A,A,A,B,B,B,B,A,A,A,D,D,D,E,D,B,D,A,A
Glycol,A,A,B,B,B,B,B,B,B,A,D,D,D,E,D,B,D,D,A
Helium,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Heptane,B,A,D,A,B,B,B,A,A,B,C,D,B,E,A,B,D,B,D
Hexane,B,A,B,B,B,B,B,B,B,D,B,A,B,E,A,D,D,B,D
Hidrofluorosilicic acid,B,D,D,B,D,D,B,C,C,C,C,A,A,E,B,B,C,A,A
Hydraulic oil,A,A,B,B,B,A,A,A,A,A,D,D,D,E,D,C,C,A,A
Hydrobromic acid,D,D,D,D,D,D,C,D,D,D,B,A,A,E,A,B,D,A,D
Hydrochloric acid ( vapors ),D,D,D,D,D,D,C,D,D,D,D,A,A,E,D,D,D,A,D
Hydrochlorofluorocarbons (HCFC),A,C,C,B,D,C,A,B,B,C,D,D,D,A,D,C,B,A,A
Hydrocyanic acid,A,A,D,D,C,C,C,A,A,D,D,A,A,E,C,D,D,A,D
Hydrofluoric acid,C,D,C,D,D,D,B,D,D,D,D,A,A,E,C,C,D,A,A
Hydrofluorocarbons (HFC),A,C,C,B,D,C,A,B,B,C,D,D,D,A,D,C,B,A,A
Hydrofluoroolefin (HFO),A,C,C,B,D,C,A,B,B,C,D,D,D,A,D,C,B,A,A
Hydrogen,A,A,A,A,A,A,A,A,A,D,D,A,D,E,A,B,A,A,D
Hydrogen peroxide,B,A,D,D,D,D,B,B,B,D,C,E,E,E,B,C,D,A,A
Hydrogen peroxide (diluted),B,A,C,B,D,B,B,B,B,D,C,A,C,E,C,C,D,A,D
Hydrogen sulfide (dry),A,B,A,A,B,B,A,B,A,D,D,B,B,E,D,D,D,A,D
Hydrogen sulfide (wet),B,C,C,D,D,C,B,B,B,D,D,B,B,E,D,D,D,A,D
"Hydrogen sulfide 0,7%",A,B,B,C,D,D,A,C,B,D,D,B,B,E,D,D,D,A,D
Ink,A,C,D,C,D,D,B,A,A,A,D,D,D,E,D,C,D,A,A
Iodine (wet),D,D,D,D,D,D,D,D,D,B,C,A,C,E,B,C,D,A,D
Iodoform,A,C,D,C,C,B,C,A,A,B,C,A,A,E,A,C,D,A,D
Iron perchloride,D,D,D,D,D,D,D,D,D,C,B,B,B,E,B,B,D,E,D
Isooctane,A,D,D,A,A,A,B,A,A,D,A,D,D,E,A,D,D,D,A
Isopropilyque ether,A,A,A,A,B,A,A,A,A,A,D,D,D,E,D,B,D,D,A
Isopropyl alcohol,B,B,B,B,B,B,B,B,B,D,A,B,C,E,A,D,D,A,D
Kerosene,A,A,B,A,B,B,A,A,A,B,D,D,D,E,D,D,D,D,A
Lactic acid (cold concentrated),A,C,C,D,D,D,D,B,A,C,C,A,A,E,A,B,A,A,A
Lactic acid (cold dilutec),A,A,C,D,D,D,C,A,A,C,C,A,A,E,A,B,A,A,A
Lactic acid (hot concentrated),A,C,C,D,D,D,D,B,B,C,C,A,A,E,C,B,A,A,A
Lactic acid (hot dilutec),A,B,C,D,D,D,D,B,A,C,C,A,A,E,C,B,A,A,A
Lead acetate,B,D,C,C,D,D,B,B,B,C,B,A,A,E,C,B,D,B,D
Lemon juice,A,C,D,B,D,D,A,B,B,D,D,D,D,E,A,D,D,A,D
Liguid gas,A,A,B,A,B,B,B,B,B,A,D,B,D,E,B,B,D,D,A
Linoleic acid,A,A,B,B,B,B,B,A,A,C,C,A,A,E,A,B,C,A,A
Liquefied petroleum gas (LPG),E,B,A,B,D,A,E,A,C,B,E,D,E,A,D,C,E,A,A
Liquid asphalt,A,C,B,A,B,B,A,A,A,A,D,B,D,E,D,B,B,A,A
Lubricant oil,A,A,B,B,A,A,B,A,A,A,D,D,D,E,D,C,C,A,A
Magnesium Hydroxide,A,D,C,B,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Magnesium Hydroxide (hot),A,D,D,D,B,B,A,A,A,D,B,A,A,E,B,B,D,A,D
Magnesium Sulphate,B,B,C,A,B,B,B,A,A,C,B,A,A,E,A,B,D,A,D
Magnesium bisulfate,A,B,B,B,B,B,B,A,A,D,A,A,A,E,B,B,D,A,D
Magnesium chloride,B,D,D,B,D,C,B,B,A,B,A,A,A,E,A,A,D,A,D
Maleic acid,B,B,B,B,D,B,A,B,B,C,C,A,A,E,C,B,D,A,A
Malic acid,A,B,B,B,D,D,B,B,B,C,C,A,A,E,B,B,D,A,A
Mercury,A,C,D,D,A,A,B,A,A,D,D,A,D,E,B,B,D,D,A
Mercury chloride,C,D,D,D,D,D,B,D,C,B,A,A,A,E,A,A,D,A,D
Mercury cyanide,A,D,D,D,D,D,B,A,A,D,B,A,A,E,B,B,D,A,A
Methane,B,A,A,A,B,B,B,B,B,D,D,B,D,E,A,B,D,D,A
Methyl acetate,A,A,A,A,B,B,A,A,A,C,B,A,A,E,C,B,D,B,D
Methyl alcohol,B,A,A,A,A,B,A,B,B,D,A,B,C,E,A,D,D,A,D
Methyl formate,C,C,B,A,C,C,B,B,B,B,D,D,D,E,D,A,B,D,A
Methylamine,A,A,D,D,B,B,C,A,A,B,D,D,D,E,D,D,D,D,A
Methylchloride,A,D,A,A,",",B,B,B,A,B,A,A,A,E,A,A,D,A,D
Methylene chloride,A,A,B,A,B,B,B,A,A,B,A,A,A,E,A,A,D,A,D
Metil acetone,A,A,B,A,A,A,A,A,A,B,B,D,D,E,B,D,D,D,A
Milk ,A,A,C,A,D,D,A,A,A,D,D,D,D,E,A,D,D,A,D
Milk emulsion,A,A,A,A,B,B,E,A,A,A,C,D,B,E,D,B,D,A,A
Milking,A,A,B,A,C,C,A,A,A,D,B,D,D,E,A,D,D,A,D
Moist air,A,A,B,A,A,A,A,A,A,D,D,A,A,E,A,A,A,A,A
Monophosphate ammonium,B,B,D,D,D,D,C,B,B,b,C,A,A,E,A,C,D,A,D
Muriatic acid,D,D,D,D,D,D,C,D,D,C,C,A,A,E,C,B,D,A,A
Naphtha,B,A,C,B,B,B,B,B,B,B,C,A,A,E,A,C,D,A,D
Naphthalene,B,B,B,B,B,A,B,B,B,B,C,A,A,E,A,C,D,A,D
Natural gas,B,B,B,A,B,B,A,A,A,A,D,D,D,E,B,D,D,A,A
Nickel Nitrate,B,C,C,B,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
Nickel chloride,B,D,D,D,D,D,B,B,B,B,A,A,A,E,A,A,D,A,D
Nickel sulfate,B,D,C,D,D,D,B,B,B,C,B,A,A,E,A,B,D,A,D
Nicotinic acid,A,A,A,A,B,B,A,A,A,D,C,A,A,E,C,D,D,A,A
Nitric acid 10%,A,D,D,D,D,D,D,A,A,D,C,A,A,E,D,D,D,A,B
Nitric acid 100%,A,B,D,D,A,A,D,A,A,D,D,D,C,E,D,D,D,A,C
Nitric acid 30%,A,D,D,D,D,D,D,A,A,D,D,A,A,E,D,D,D,A,B
Nitric acid 80%,A,B,D,D,D,D,D,A,A,D,D,A,B,E,D,D,D,A,B
Nitrobenzene,A,C,C,D,B,B,B,B,B,C,D,D,D,E,D,D,D,D,A
Nitrogen,E,A,A,A,A,C,A,A,A,B,E,A,E,E,C,B,B,A,B
Nitrogen sulfide (dry),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Nitrogen sulfide (wet),E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Nitrous acid 10%,B,D,D,D,D,D,D,B,B,D,D,A,B,E,D,D,D,A,B
Nitrous gases,B,B,D,D,C,B,D,A,A,B,B,A,B,E,D,B,D,B,A
Nitrous oxide,B,C,D,D,C,B,D,B,B,D,B,A,A,E,B,B,D,A,D
Oil,B,B,B,B,C,B,B,B,B,A,D,D,D,E,D,C,C,A,A
Oil and water mixture,A,A,A,A,B,B,A,A,A,A,D,D,D,E,D,B,D,S,A
Oil for transf .,A,A,B,B,B,A,A,A,A,A,D,D,D,E,D,C,C,A,A
Oleic acid,B,B,C,B,C,C,B,B,B,B,B,A,B,E,C,B,D,A,A
Olive oil,A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,D,C,A,A
Ortho-xylene,E,D,E,E,E,D,E,A,A,D,E,D,E,E,D,C,D,A,B
Oxalic acid,B,C,C,B,D,D,B,B,B,B,B,B,A,E,C,B,B,A,C
Oxygen,A,A,A,A,B,B,A,A,A,C,B,A,B,E,B,B,D,A,D
Ozone (dry),A,B,B,B,C,C,A,A,A,D,C,A,A,E,C,C,D,A,D
Ozone (wet),A,A,A,A,A,A,A,A,A,D,C,A,A,E,C,C,D,A,D
Palm oil,A,A,B,B,C,C,A,B,B,A,D,D,D,E,D,C,C,A,A
Palmitic acid,B,B,C,B,C,C,B,B,B,B,C,A,A,E,A,B,C,A,A
Paraffin,A,A,A,A,B,B,A,A,A,A,D,C,C,E,D,B,D,A,A
Paraformaldehyde,B,B,B,B,B,B,B,B,B,A,D,C,C,E,D,B,D,E,A
Pentane,B,A,C,A,B,B,B,A,A,D,D,A,A,E,A,D,D,A,D
Perchlorethylene (dry),A,A,C,C,B,B,B,A,A,D,C,A,C,E,C,C,D,A,D
Phenol,A,A,B,B,D,D,B,B,B,A,D,D,D,E,D,D,D,D,A
Phosphoric acid 10% (cold),B,D,D,D,D,D,B,B,B,D,B,A,A,E,D,B,D,A,A
Phosphoric acid 10% (hot),C,D,D,D,D,D,C,D,D,D,B,A,A,E,D,B,D,A,A
Phosphoric acid 50% (cold),B,D,D,D,D,D,C,B,B,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 50% (hot),C,D,D,D,D,D,C,D,D,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 85% (cold),A,D,D,D,B,B,A,A,A,D,D,A,A,E,D,C,D,A,A
Phosphoric acid 85% (hot),A,D,D,D,C,C,A,A,A,D,B,A,A,E,D,C,D,A,A
Phthalic acid,B,B,B,B,C,C,A,B,B,D,D,A,A,E,C,C,D,A,A
Phthalic anhydride,B,B,B,B,C,C,A,B,B,C,B,A,A,E,A,C,D,A,D
Picric acid,B,C,D,D,D,D,A,B,B,B,C,A,A,E,A,B,C,A,A
Pine oil,A,A,B,B,B,B,A,A,A,A,D,D,D,E,D,C,C,A,A
Potassium Hydroxide 70 % cold,A,D,D,D,B,A,A,A,A,B,D,B,D,E,A,D,A,A,A
Potassium Hydroxide 70 % hot,A,D,D,D,B,A,A,A,A,B,D,A,D,E,B,D,A,A,A
